date,count
2016-01-26,1
2016-11-23,1
2016-12-24,1
2017-01-04,2
2017-02-07,1
2017-02-08,1
2017-02-14,1
2017-03-09,2
2017-03-10,1
2017-03-14,1
2017-03-15,1
2017-03-16,1
2017-03-17,8
2017-03-18,15
2017-03-30,1
2017-04-03,3
2017-04-04,1
2017-04-05,1
2017-04-06,1
2017-04-11,2
2017-04-12,3
2017-04-14,1
2017-04-15,3
2017-04-16,3
2017-04-17,1
2017-04-18,1
2017-04-19,3
2017-04-26,1
2017-04-29,1
2017-05-07,1
2017-05-27,5
2017-05-28,1
2017-05-29,4
2017-05-31,7
2017-06-03,1
2017-06-04,2
2017-06-05,2
2017-06-07,4
2017-06-08,1
2017-06-10,1
2017-06-12,1
2017-06-13,3
2017-06-14,7
2017-06-17,5
2017-06-18,2
2017-06-22,1
2017-06-23,2
2017-06-24,1
2017-06-25,1
2017-07-08,1
2017-07-19,1
2017-08-01,1
2017-08-03,1
2017-08-05,3
2017-08-06,1
2017-08-07,2
2017-08-09,1
2017-08-10,1
2017-08-12,3
2017-08-13,5
2017-08-16,1
2017-08-17,4
2017-08-19,1
2017-08-23,1
2017-08-24,1
2017-08-25,5
2017-08-27,1
2017-09-01,3
2017-09-02,5
2017-09-03,1
2017-09-04,2
2017-09-05,2
2017-09-06,2
2017-09-18,1
2017-09-19,1
2017-09-25,2
2017-09-26,3
2017-09-27,5
2017-09-29,1
2017-11-11,1
2017-11-14,1
2017-11-15,1
2017-11-17,1
2017-11-19,1
2017-11-20,1
2017-11-22,3
2017-11-23,1
2017-11-24,1
2017-11-25,1
2017-11-27,1
2017-11-29,1
2017-12-05,1
2017-12-12,1
